CHANNEL,LOKASI,TANGGAL,BULAN,TAHUN,KODE_BARANG,KLASIFIKASI_BARANG,WARNA_BARANG,UKURAN_BARANG,BERAT_SATUAN,JUMLAH,BERAT_TOTAL
002,LO000025,02/20/2023 00:00:00,02,2023,MP000294,KD000016,PL000037,SZ000009,4,1,4
002,LO000025,02/20/2023 00:00:00,02,2023,MP000284,KD000016,PL000037,SZ000012,5,1,10
002,LO000025,02/20/2023 00:00:00,02,2023,MP000294,KD000016,PL000037,SZ000009,3,2,9
002,LO000025,02/20/2023 00:00:00,02,2023,MP000294,KD000016,PL000037,SZ000009,3,3,9
002,LO000025,02/20/2023 00:00:00,02,2023,MP002175,KD000016,PL000036,SZ000012,7,1,7
002,LO000025,02/20/2023 00:00:00,02,2023,MP002175,KD000016,PL000036,SZ000012,10,1,10
002,LO000025,02/20/2023 00:00:00,02,2023,MP002175,KD000016,PL000036,SZ000011,13,1,13
002,LO000025,02/22/2023 00:00:00,02,2023,MP002277,KD000009,PL000037,SZ000012,3,3,9
002,LO000025,02/22/2023 00:00:00,02,2023,MP000197,KD000016,PL000037,SZ000009,3,10,30
002,LO000025,02/22/2023 00:00:00,02,2023,MP000294,KD000016,PL000037,SZ000011,10,1,10
002,LO000025,02/22/2023 00:00:00,02,2023,MP000294,KD000016,PL000037,SZ000013,8,1,8
002,LO000025,02/22/2023 00:00:00,02,2023,MP000197,KD000009,PL000036,SZ000009,2,2,4
002,LO000026,03/10/2023 00:00:00,03,2023,MP002277,KD000009,PL000039,SZ000012,8,2,16
002,LO000026,03/10/2023 00:00:00,03,2023,MP002277,KD000009,PL000039,SZ000012,4,4,17
002,LO000026,03/11/2023 00:00:00,03,2023,MP000197,KD000016,PL000039,SZ000013,5,3,20
002,LO000026,03/11/2023 00:00:00,03,2023,MP000284,KD000016,PL000037,SZ000012,3,4,12
002,LO000026,03/11/2023 00:00:00,03,2023,MP000284,KD000016,PL000037,SZ000009,3,5,15
002,LO000026,03/11/2023 00:00:00,03,2023,MP000284,KD000016,PL000037,SZ000012,10,5,50
002,LO000026,03/11/2023 00:00:00,03,2023,MP000284,KD000016,PL000037,SZ000012,2,4,8
002,LO000026,03/11/2023 00:00:00,03,2023,MP000197,KD000016,PL000037,SZ000012,3,3,9
002,LO000026,03/11/2023 00:00:00,03,2023,MP000197,KD000016,PL000037,SZ000012,2,5,10
002,LO000025,01/09/2023 00:00:00,01,2023,MP002175,KD000016,PL000036,SZ000007,15,0,15
002,LO000025,01/09/2023 00:00:00,01,2023,MP002175,KD000016,PL000036,SZ000007,25,1,25
002,LO000025,01/09/2023 00:00:00,01,2023,MP002175,KD000016,PL000036,SZ000007,12,1,12
002,LO000025,01/09/2023 00:00:00,01,2023,MP002175,KD000016,PL000036,SZ000012,8,1,8
002,LO000025,01/09/2023 00:00:00,01,2023,MP002175,KD000016,PL000036,SZ000007,10,3,30
002,LO000025,01/09/2023 00:00:00,01,2023,MP002175,KD000016,PL000036,SZ000007,20,1,20
002,LO000025,01/09/2023 00:00:00,01,2023,MP000284,KD000016,PL000037,SZ000011,12,1,12
002,LO000025,01/09/2023 00:00:00,01,2023,MP000284,KD000016,PL000037,SZ000013,12,1,12
002,LO000025,01/09/2023 00:00:00,01,2023,MP000284,KD000016,PL000037,SZ000013,6,3,18
002,LO000025,01/10/2023 00:00:00,01,2023,MP002246,KD000028,PL000036,SZ000012,4,11,45
002,LO000025,01/10/2023 00:00:00,01,2023,MP002246,KD000028,PL000036,SZ000012,4,15,62
002,LO000025,01/10/2023 00:00:00,01,2023,MP002246,KD000028,PL000036,SZ000007,2,15,31
002,LO000025,01/10/2023 00:00:00,01,2023,MP002246,KD000028,PL000036,SZ000007,3,6,19
002,LO000025,01/10/2023 00:00:00,01,2023,MP002246,KD000028,PL000036,SZ000007,4,4,16
002,LO000025,01/10/2023 00:00:00,01,2023,MP002175,KD000028,PL000036,SZ000007,4,4,16
002,LO000025,01/10/2023 00:00:00,01,2023,MP002246,KD000009,PL000036,SZ000013,5,1,10
002,LO000025,01/10/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,2,3,6
002,LO000025,01/10/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000009,2,1,4
002,LO000025,01/10/2023 00:00:00,01,2023,MP002246,KD000009,PL000036,SZ000012,3,3,10
002,LO000025,01/10/2023 00:00:00,01,2023,MP002246,KD000009,PL000036,SZ000012,4,2,8
002,LO000025,01/12/2023 00:00:00,01,2023,MP002277,KD000009,PL000037,SZ000012,2,29,58
002,LO000025,01/12/2023 00:00:00,01,2023,MP002277,KD000028,PL000037,SZ000012,8,1,8
002,LO000025,01/12/2023 00:00:00,01,2023,MP000294,KD000028,PL000036,SZ000012,12,0,12
002,LO000025,01/12/2023 00:00:00,01,2023,MP000294,KD000028,PL000036,SZ000011,8,1,8
002,LO000025,01/12/2023 00:00:00,01,2023,MP000294,KD000016,PL000037,SZ000011,5,1,5
002,LO000025,01/12/2023 00:00:00,01,2023,MP000294,KD000016,PL000037,SZ000011,5,1,5
002,LO000025,01/12/2023 00:00:00,01,2023,MP002277,KD000028,PL000037,SZ000011,10,4,40
002,LO000025,01/12/2023 00:00:00,01,2023,MP002277,KD000028,PL000037,SZ000012,7,3,21
002,LO000025,01/12/2023 00:00:00,01,2023,MP002277,KD000028,PL000037,SZ000012,5,9,46
002,LO000025,01/12/2023 00:00:00,01,2023,MP000294,KD000016,PL000037,SZ000012,2,1,2
002,LO000025,01/12/2023 00:00:00,01,2023,MP000294,KD000016,PL000037,SZ000012,3,0,3
002,LO000025,01/12/2023 00:00:00,01,2023,MP000197,KD000028,PL000036,SZ000009,3,13,39
002,LO000025,01/12/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,3,1,3
002,LO000025,01/12/2023 00:00:00,01,2023,MP002277,KD000037,PL000039,SZ000012,4,1,4
002,LO000017,01/13/2023 00:00:00,01,2023,MP000294,KD000016,PL000037,SZ000009,3,14,45
002,LO000017,01/13/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000009,2,4,10
002,LO000017,01/13/2023 00:00:00,01,2023,MP000294,KD000016,PL000037,SZ000009,2,30,61
002,LO000017,01/13/2023 00:00:00,01,2023,MP000284,KD000016,PL000037,SZ000012,8,6,48
002,LO000017,01/13/2023 00:00:00,01,2023,MP000284,KD000016,PL000037,SZ000009,3,20,61
002,LO000017,01/13/2023 00:00:00,01,2023,MP000284,KD000016,PL000037,SZ000012,6,5,30
002,LO000017,01/13/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,4,3,16
002,LO000017,01/13/2023 00:00:00,01,2023,MP000284,KD000016,PL000037,SZ000012,3,17,52
002,LO000017,01/13/2023 00:00:00,01,2023,MP000294,KD000016,PL000037,SZ000012,4,20,80
002,LO000017,01/13/2023 00:00:00,01,2023,MP000197,KD000037,PL000036,SZ000011,30,1,30
002,LO000017,01/13/2023 00:00:00,01,2023,MP000197,KD000037,PL000036,SZ000012,4,3,12
002,LO000038,03/02/2023 00:00:00,03,2023,MP000197,KD000016,PL000039,SZ000009,3,2,9
002,LO000038,03/02/2023 00:00:00,03,2023,MP000284,KD000037,PL000036,SZ000009,2,2,4
002,LO000026,01/06/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000011,12,2,36
002,LO000026,01/06/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,10,5,50
002,LO000026,01/06/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,8,11,88
002,LO000026,01/06/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,7,10,71
002,LO000026,01/06/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,6,3,18
002,LO000026,01/06/2023 00:00:00,01,2023,MP000294,KD000016,PL000037,SZ000011,12,2,36
002,LO000026,01/06/2023 00:00:00,01,2023,MP000284,KD000016,PL000037,SZ000013,10,10,101
002,LO000026,01/06/2023 00:00:00,01,2023,MP000294,KD000016,PL000037,SZ000012,2,15,31
002,LO000026,01/06/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,3,10,30
002,LO000026,01/06/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,2,5,10
002,LO000026,01/06/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,4,14,60
002,LO000026,01/06/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,4,10,40
002,LO000026,01/06/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,5,5,25
002,LO000026,01/06/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,5,10,50
002,LO000026,01/07/2023 00:00:00,01,2023,MP000284,KD000016,PL000037,SZ000011,10,1,10
002,LO000026,01/07/2023 00:00:00,01,2023,MP000284,KD000016,PL000037,SZ000011,10,3,30
002,LO000026,01/07/2023 00:00:00,01,2023,MP000294,KD000016,PL000037,SZ000012,2,10,21
002,LO000026,01/07/2023 00:00:00,01,2023,MP000284,KD000016,PL000037,SZ000012,2,5,10
002,LO000026,01/07/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,2,5,10
002,LO000026,01/07/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,4,4,20
002,LO000026,01/07/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,4,4,20
002,LO000026,01/07/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,5,4,25
002,LO000026,01/07/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000012,5,5,25
002,LO000038,03/07/2023 00:00:00,03,2023,MP000197,KD000028,PL000036,SZ000012,2,2,4
